UtcDateTime,LaneIndex,Action
10/04/2021 14:06:39,-1,"Miss: 0.889664840698242, 0.864568081991215"
10/04/2021 14:06:39,-1,"Miss: 0.88984375, 0.864568081991215"
10/04/2021 14:06:39,-1,"Miss: 0.88984375, 0.864568081991215"
10/04/2021 14:06:39,4,"close"
10/04/2021 14:06:39,5,"close"
10/04/2021 14:06:41,1,"close"
10/04/2021 14:06:41,2,"close"
10/04/2021 14:06:45,-1,"Miss: 0.5328125, 0.39311859443631"
10/04/2021 14:06:45,-1,"Miss: 0.5328125, 0.39311859443631"
10/04/2021 14:06:45,-1,"Miss: 0.5328125, 0.391402505676359"
10/04/2021 14:06:45,-1,"Miss: 0.532036542892456, 0.389468191657897"
10/04/2021 14:06:45,-1,"Miss: 0.531394147872925, 0.387070305350933"
10/04/2021 14:06:45,-1,"Miss: 0.530752849578857, 0.384666610427343"
10/04/2021 14:06:45,-1,"Miss: 0.530138540267944, 0.382982871193837"
10/04/2021 14:06:45,-1,"Miss: 0.529493570327759, 0.380678637659567"
10/04/2021 14:06:45,-1,"Miss: 0.529296875, 0.380673499267936"
10/04/2021 14:06:45,-1,"Miss: 0.529296875, 0.380673499267936"
10/04/2021 14:06:46,-1,"Miss: 0.57265625, 0.34407027818448"
10/04/2021 14:06:46,-1,"Miss: 0.573517608642578, 0.34407027818448"
10/04/2021 14:06:46,-1,"Miss: 0.575596284866333, 0.344686795816938"
10/04/2021 14:06:47,-1,"Miss: 0.57750449180603, 0.345878813312134"
10/04/2021 14:06:47,-1,"Miss: 0.579398584365845, 0.347062073200723"
10/04/2021 14:06:47,-1,"Miss: 0.579296875, 0.346998535871157"
10/04/2021 14:06:51,1,"damage=Medium"
10/04/2021 14:06:51,2,"damage=Medium"
10/04/2021 14:06:51,4,"damage=Medium"
10/04/2021 14:06:51,5,"damage=Medium"
10/04/2021 14:06:55,-1,"Miss: 0.874609375, 0.534407027818448"
10/04/2021 14:06:55,-1,"Miss: 0.874149799346924, 0.534407027818448"
10/04/2021 14:06:55,-1,"Miss: 0.873519039154053, 0.534407027818448"
10/04/2021 14:06:55,-1,"Miss: 0.872875881195068, 0.534407027818448"
10/04/2021 14:06:55,-1,"Miss: 0.871027946472168, 0.532901747160391"
10/04/2021 14:06:55,-1,"Miss: 0.869783020019531, 0.531714689330161"
10/04/2021 14:06:56,-1,"Miss: 0.868523597717285, 0.530534557158217"
10/04/2021 14:06:56,-1,"Miss: 0.86796875, 0.530746705710103"
10/04/2021 14:06:56,-1,"Miss: 0.86796875, 0.530746705710103"
10/04/2021 14:06:59,1,"cause=Slope"
10/04/2021 14:06:59,2,"cause=Slope"
10/04/2021 14:06:59,4,"cause=Slope"
10/04/2021 14:06:59,5,"cause=Slope"
10/04/2021 14:07:04,4,"open"
10/04/2021 14:07:05,1,"open"
10/04/2021 14:07:05,-1,"Miss: 0.108203125, 0.128843338213763"
10/04/2021 14:07:05,-1,"Miss: 0.107756912708282, 0.128843338213763"
10/04/2021 14:07:05,-1,"Miss: 0.107094991207123, 0.128843338213763"
10/04/2021 14:07:05,-1,"Miss: 0.105859375, 0.128843338213763"
