UtcDateTime,LaneIndex,Action
10/04/2021 13:41:10,-1,"Miss: 0.009375, 0.0560263637916934"
10/04/2021 13:41:10,-1,"Miss: 0.009375, 0.0548242482398998"
10/04/2021 13:41:10,-1,"Miss: 0.009375, 0.0548242482398998"
10/04/2021 13:41:10,-1,"Miss: 0.009375, 0.0548242482398998"
10/04/2021 13:41:10,-1,"Miss: 0.009375, 0.0548242482398998"
10/04/2021 13:41:11,3,"open"
10/04/2021 13:41:11,2,"open"
10/04/2021 13:41:12,-1,"Miss: 0.163671875, 0.068814055636896"
10/04/2021 13:41:12,-1,"Miss: 0.163236558437347, 0.068814055636896"
10/04/2021 13:41:12,-1,"Miss: 0.162599182128906, 0.0682678669472914"
10/04/2021 13:41:12,-1,"Miss: 0.161036908626556, 0.0673499267935578"
10/04/2021 13:41:12,-1,"Miss: 0.160546875, 0.0673499267935578"
10/04/2021 13:41:12,-1,"Miss: 0.160546875, 0.0673499267935578"
10/04/2021 13:41:12,1,"open"
10/04/2021 13:41:13,4,"open"
10/04/2021 13:41:14,5,"open"
10/04/2021 13:41:14,6,"open"
10/04/2021 13:41:28,6,"close"
10/04/2021 13:41:31,5,"close"
10/04/2021 13:41:32,4,"close"
10/04/2021 13:41:33,1,"close"
10/04/2021 13:41:33,2,"close"
10/04/2021 13:41:34,3,"close"
10/04/2021 13:41:44,1,"damage=Low"
10/04/2021 13:41:44,2,"damage=Low"
10/04/2021 13:41:44,3,"damage=Low"
10/04/2021 13:41:44,4,"damage=Low"
10/04/2021 13:41:44,5,"damage=Low"
10/04/2021 13:41:44,6,"damage=Low"
10/04/2021 13:42:00,1,"cause=Compaction"
10/04/2021 13:42:00,2,"cause=Compaction"
10/04/2021 13:42:00,3,"cause=Compaction"
10/04/2021 13:42:00,4,"cause=Compaction"
10/04/2021 13:42:00,5,"cause=Compaction"
10/04/2021 13:42:00,6,"cause=Compaction"
10/04/2021 13:42:13,4,"open"
10/04/2021 13:42:14,5,"open"
10/04/2021 13:42:14,6,"open"
10/04/2021 13:42:23,4,"close"
10/04/2021 13:42:24,5,"close"
10/04/2021 13:42:24,6,"close"
10/04/2021 13:42:28,4,"damage=Medium"
10/04/2021 13:42:28,5,"damage=Medium"
10/04/2021 13:42:28,6,"damage=Medium"
10/04/2021 13:42:31,-1,"Miss: 0.937109375, 0.481698389458272"
10/04/2021 13:42:31,-1,"Miss: 0.937109375, 0.481698389458272"
10/04/2021 13:42:31,-1,"Miss: 0.937109375, 0.480966325036603"
10/04/2021 13:42:31,-1,"Miss: 0.937109375, 0.479642988123971"
10/04/2021 13:42:31,-1,"Miss: 0.937109375, 0.479502196193265"
10/04/2021 13:42:31,-1,"Miss: 0.937109375, 0.479502196193265"
10/04/2021 13:42:31,-1,"Miss: 0.98203125, 0.5"
10/04/2021 13:42:31,-1,"Miss: 0.981171131134033, 0.5"
10/04/2021 13:42:31,-1,"Miss: 0.980211353302002, 0.5"
10/04/2021 13:42:31,-1,"Miss: 0.978125, 0.5"
10/04/2021 13:42:31,-1,"Miss: 0.978125, 0.5"
10/04/2021 13:42:35,4,"cause=Slope"
10/04/2021 13:42:35,5,"cause=Slope"
10/04/2021 13:42:35,6,"cause=Slope"
10/04/2021 13:42:45,3,"open"
10/04/2021 13:42:45,2,"open"
10/04/2021 13:42:46,1,"open"
10/04/2021 13:43:02,3,"close"
10/04/2021 13:43:03,2,"close"
